cat,name,price,rating
Travel,It's Only the Himalayas,45.17 £,Two star(s)
Travel,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43 £,Four star(s)
Travel,See America: A Celebration of Our National Parks & Treasured Sites,48.87 £,Three star(s)
Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94 £,Two star(s)
Travel,Under the Tuscan Sun,37.33 £,Three star(s)
Travel,A Summer In Europe,44.34 £,Two star(s)
Travel,The Great Railway Bazaar,30.54 £,One star(s)
Travel,A Year in Provence (Provence #1),56.88 £,Four star(s)
Travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21 £,One star(s)
Travel,Neither Here nor There: Travels in Europe,38.95 £,Three star(s)
Travel,"1,000 Places to See Before You Die",26.08 £,Five star(s)
Mystery,Sharp Objects,47.82 £,Four star(s)
Mystery,"In a Dark, Dark Wood",19.63 £,One star(s)
Mystery,The Past Never Ends,56.50 £,Four star(s)
Mystery,A Murder in Time,16.64 £,One star(s)
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),44.10 £,Four star(s)
Mystery,The Last Mile (Amos Decker #2),54.21 £,Two star(s)
Mystery,That Darkness (Gardiner and Renner #1),13.92 £,One star(s)
Mystery,Tastes Like Fear (DI Marnie Rome #3),10.69 £,One star(s)
Mystery,A Time of Torment (Charlie Parker #14),48.35 £,Five star(s)
Mystery,A Study in Scarlet (Sherlock Holmes #1),16.73 £,Two star(s)
Mystery,Poisonous (Max Revere Novels #3),26.80 £,Three star(s)
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),54.36 £,Four star(s)
Mystery,Most Wanted,35.28 £,Three star(s)
Mystery,Hide Away (Eve Duncan #20),11.84 £,One star(s)
Mystery,Boar Island (Anna Pigeon #19),59.48 £,Three star(s)
Mystery,The Widow,27.26 £,Two star(s)
Mystery,Playing with Fire,13.71 £,Three star(s)
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37 £,Five star(s)
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.30 £,Five star(s)
Mystery,Delivering the Truth (Quaker Midwife Mystery #1),20.89 £,Four star(s)
Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),24.80 £,Four star(s)
Mystery,In the Woods (Dublin Murder Squad #1),38.38 £,Two star(s)
Mystery,The Silkworm (Cormoran Strike #2),23.05 £,Five star(s)
Mystery,The Exiled,43.45 £,Three star(s)
Mystery,The Cuckoo's Calling (Cormoran Strike #1),19.21 £,One star(s)
Mystery,Extreme Prey (Lucas Davenport #26),25.40 £,Three star(s)
Mystery,Career of Evil (Cormoran Strike #3),24.72 £,Two star(s)
Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.70 £,Four star(s)
Mystery,The Girl You Lost,12.29 £,Five star(s)
Mystery,The Girl In The Ice (DCI Erika Foster #1),15.85 £,Three star(s)
Mystery,Blood Defense (Samantha Brinkman #1),20.30 £,Three star(s)
Mystery,1st to Die (Women's Murder Club #1),53.98 £,One star(s)
Historical Fiction,Tipping the Velvet,53.74 £,One star(s)
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69 £,Three star(s)
Historical Fiction,A Flight of Arrows (The Pathfinders #2),55.53 £,Five star(s)
Historical Fiction,The House by the Lake,36.95 £,One star(s)
Historical Fiction,Mrs. Houdini,30.25 £,Five star(s)
Historical Fiction,The Marriage of Opposites,28.08 £,Four star(s)
Historical Fiction,Glory over Everything: Beyond The Kitchen House,45.84 £,Three star(s)
Historical Fiction,"Love, Lies and Spies",20.55 £,Two star(s)
Historical Fiction,A Paris Apartment,39.01 £,Four star(s)
Historical Fiction,Lilac Girls,17.28 £,Two star(s)
Historical Fiction,The Constant Princess (The Tudor Court #1),16.62 £,Three star(s)
Historical Fiction,The Invention of Wings,37.34 £,One star(s)
Historical Fiction,World Without End (The Pillars of the Earth #2),32.97 £,Four star(s)
Historical Fiction,The Passion of Dolssa,28.32 £,Five star(s)
Historical Fiction,Girl With a Pearl Earring,26.77 £,One star(s)
Historical Fiction,Voyager (Outlander #3),21.07 £,Five star(s)
Historical Fiction,The Red Tent,35.66 £,Five star(s)
Historical Fiction,The Last Painting of Sara de Vos,55.55 £,Two star(s)
Historical Fiction,The Guernsey Literary and Potato Peel Pie Society,49.53 £,One star(s)
Historical Fiction,Girl in the Blue Coat,46.83 £,Two star(s)
Historical Fiction,Between Shades of Gray,20.79 £,Five star(s)
Historical Fiction,While You Were Mine,41.32 £,Five star(s)
Historical Fiction,The Secret Healer,34.56 £,Three star(s)
Historical Fiction,Starlark,25.83 £,Three star(s)
Historical Fiction,Lost Among the Living,27.70 £,Four star(s)
Historical Fiction,A Spy's Devotion (The Regency Spies of London #1),16.97 £,Five star(s)
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29 £,Five star(s)
Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28 £,One star(s)
Sequential Art,This One Summer,19.49 £,Four star(s)
Sequential Art,The Nameless City (The Nameless City #1),38.16 £,Four star(s)
Sequential Art,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04 £,Two star(s)
Sequential Art,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40 £,Three star(s)
Sequential Art,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61 £,Five star(s)
Sequential Art,"Pop Gun War, Volume 1: Gift",18.97 £,One star(s)
Sequential Art,Patience,10.16 £,Three star(s)
Sequential Art,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44 £,Four star(s)
Sequential Art,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41 £,One star(s)
Sequential Art,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91 £,Two star(s)
Sequential Art,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61 £,Three star(s)
Sequential Art,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92 £,Two star(s)
Sequential Art,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17 £,Two star(s)
Sequential Art,I am a Hero Omnibus Volume 1,54.63 £,Three star(s)
Sequential Art,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11 £,Two star(s)
Sequential Art,Danganronpa Volume 1,51.99 £,Four star(s)
Sequential Art,"Codename Baboushka, Volume 1: The Conclave of Death",36.72 £,Four star(s)
Sequential Art,Camp Midnight,17.08 £,Four star(s)
Sequential Art,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92 £,Two star(s)
Sequential Art,The Shadow Hero (The Shadow Hero),33.14 £,One star(s)
Sequential Art,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62 £,Four star(s)
Sequential Art,Batman: The Long Halloween (Batman),36.50 £,Two star(s)
Sequential Art,Batman: The Dark Knight Returns (Batman),15.38 £,Five star(s)
Sequential Art,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34 £,Four star(s)
Sequential Art,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.90 £,One star(s)
Sequential Art,Through the Woods,25.38 £,Two star(s)
Sequential Art,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89 £,Five star(s)
Sequential Art,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43 £,Four star(s)
Sequential Art,Robin War,47.82 £,Three star(s)
Sequential Art,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48 £,Two star(s)
Sequential Art,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39 £,Two star(s)
Sequential Art,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51 £,Two star(s)
Sequential Art,El Deafo,57.62 £,Five star(s)
Sequential Art,Batman: Europa,32.01 £,Two star(s)
Sequential Art,Art Ops Vol. 1,48.80 £,Three star(s)
Sequential Art,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.90 £,Two star(s)
Sequential Art,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95 £,Four star(s)
Sequential Art,Roller Girl,14.10 £,Five star(s)
